accessionnr	uit
AAA43209	Human
AAA43194	Human
AAA43661	Human
AAA56803	Avian
AAA58799	Human
AAA58800	Human
AAA58801	Human
AAA67183	Swine
AAA43183	Avian
AAA43216	Avian
AAA43678	Human
AAA64366	Human
AAC54378	Avian
AAC54380	Avian
AAA43163	Human
AAA43247	Human
AAA43184	Human
AAA43195	Human
AAA43198	Avian
AAA43174	Equine
AAC78096	Human
AAA43181	Avian
AAA43199	Avian
AAA43107	Equine
AAA43219	Avian
AAB50961	Avian
AAB50962	Avian
AAC54381	Avian
AAD13570	Avian
AAA43212	Swine
AAA43243	Avian
AAC54379	Avian
AAC54393	Avian
AAA43182	Human
AAA43217	Avian
AAA96134	Avian
AAC54377	Avian
AAD13571	Avian
AAB50965	Swine
AAB52909	Avian
AAA16905	Camel
AAA18781	Human
AAA18782	Human
AAA43211	Swine
AAA62339	Human
AAA92247	Avian
AAB27052	Human
AAC78093	Swine
AAA43152	Avian
AAA43154	Avian
AAB50966	Swine
AAB69837	Human
AAB69838	Human
AAB69841	Human
AAB69843	Human
AAC78092	Swine
AAC78097	Human
AAA43236	Human
AAB69839	Human
AAC57166	Swine
AAB69824	Human
AAB69830	Human
AAA43161	Human
AAA43238	Human
AAA62329	Human
AAA62330	Human
AAB66738	Human
AAB69847	Human
AAA43158	Human
AAB66731	Human
AAB66739	Human
AAB66740	Human
AAA16778	Human
AAA16779	Human
AAA16808	Human
AAA16809	Human
AAA16810	Human
AAA16811	Human
AAA16812	Human
AAA16813	Human
AAA16814	Human
AAA16815	Human
AAA43232	Human
AAB66725	Human
AAB66750	Human
AAA65546	Human
AAA74289	Human
AAA74290	Human
AAA74291	Human
AAA74292	Human
AAB29507	Avian
AAB63747	Human
AAB66728	Human
AAB66745	Human
AAB66755	Human
AAC78091	Swine
AAA62470	Equine
AAB63761	Human
AAB66723	Human
AAB66747	Human
AAB66761	Human
AAB66762	Human
AAB66763	Human
AAB66764	Human
AAB66766	Human
AAB66767	Human
AAC54376	Avian
AAC54382	Avian
AAC57167	Swine
AAC57415	Swine
AAB36975	Equine
AAB50957	Swine
AAB50958	Swine
AAB50960	Swine
AAB63748	Human
AAB63764	Human
AAB66744	Human
AAB69776	Human
AAB69779	Human
AAB69782	Human
AAB69796	Human
AAC57168	Swine
AAC78088	Swine
AAC78090	Swine
AAC78094	Human
AAC78095	Human
AAB50959	Swine
AAB63709	Human
AAB63710	Human
AAB63711	Human
AAB63727	Human
AAB63729	Human
AAB63730	Human
AAB63731	Human
AAD05215	Swine
AAD05216	Swine
AAB63682	Human
AAB63686	Human
AAB63688	Human
AAB63692	Human
AAB63693	Human
AAB63695	Human
AAB63696	Human
AAB63701	Human
AAB63705	Human
AAD05217	Swine
AAB63706	Human
AAB66778	Human
AAB66781	Human
AAB66782	Human
AAB66783	Human
AAB66784	Human
AAB66786	Human
AAB66787	Human
AAB66803	Human
AAB66806	Human
AAC40998	Human
AAC78087	Swine
AAC78098	Human
AAD05218	Swine
AAD05219	Swine
AAC14418	Avian
AAC32078	Avian
AAC32088	Human
AAC32098	Human
AAC32099	Human
AAC32100	Human
AAC32101	Avian
AAC32102	Avian
AAC34263	Human
AAC36738	Human
AAC40508	Human
AAC78086	Swine
AAD13566	Avian
AAD13567	Avian
AAD13568	Avian
AAD13569	Avian
AAA16880	Avian
AAA19934	Swine
AAA19935	Swine
AAA43082	Avian
AAA43083	Avian
AAA43087	Avian
AAA43088	Avian
AAA43089	Human
AAA43090	Human
AAA43094	Avian
AAA43096	Avian
AAA43099	Human
AAA43100	Equine
AAA43101	Equine
AAA43102	Equine
AAA43103	Equine
AAA43105	Equine
AAA43109	Equine
AAA43110	Equine
AAA43111	Equine
AAA43112	Equine
AAA43114	Equine
AAA43117	Avian
AAA43142	Human
AAA43143	Avian
AAA43144	Avian
AAA43145	Avian
AAA43146	Avian
AAA43147	Avian
AAA43148	Avian
AAA43149	Avian
AAA43150	Avian
AAA43151	Equine
AAA43153	Human
AAA43155	Human
AAA43156	Human
AAA43157	Human
AAA43159	Avian
AAA43160	Avian
AAA43162	Human
AAA43164	Equine
AAA43165	Human
AAA43166	Human
AAA43167	Human
AAA43168	Human
AAA43169	Human
AAA43170	Human
AAA43171	Human
AAA43172	Human
AAA43175	Human
AAA43176	Human
AAA43177	Avian
AAA43178	Human
AAA43179	Avian
AAA43180	Avian
AAA43185	Human
AAA43186	Avian
AAA43187	Human
AAA43188	Avian
AAA43190	Human
AAA43191	Avian
AAA43192	Avian
AAA43196	Human
AAA43200	Human
AAA43203	Avian
AAA43205	Avian
AAA43206	Human
AAA43208	Avian
AAA43213	Avian
AAA43214	Avian
AAA43215	Whale
AAA43218	Avian
AAA43220	Avian
AAA43221	Avian
AAA43222	Avian
AAA43223	Avian
AAA43224	Seal
AAA43225	Human
AAA43226	Human
AAA43227	Human
AAA43228	Human
AAA43229	Human
AAA43230	Human
AAA43231	Human
AAA43233	Human
AAA43234	Human
AAA43235	Human
AAA43237	Avian
AAA43239	Human
AAA43240	Human
AAA43248	Human
AAA43275	Human
AAA43283	Human
AAA43284	Avian
AAA43345	Avian
AAA43450	Avian
AAA43576	Avian
AAA43578	Avian
AAA43658	Avian
AAA43659	Avian
AAA43660	Avian
AAA43662	Avian
AAA43680	Human
AAA62327	Human
AAA62328	Human
AAA62331	Human
AAA62332	Human
AAA62335	Human
AAA62338	Human
AAA64228	Seal
AAA64229	Seal
AAA64362	Human
AAA64363	Human
AAA64364	Human
AAA64365	Human
AAA65544	Human
AAA65545	Human
AAA65547	Human
AAA65548	Human
AAA65549	Human
AAA65550	Human
AAA65551	Human
AAA65552	Human
AAA65553	Human
AAA65554	Human
AAA65555	Human
AAA65556	Human
AAA65557	Human
AAA67181	Swine
AAA67182	Swine
AAA67338	Human
AAA72339	Swine
AAA74285	Human
AAA74286	Human
AAA74287	Human
AAA74288	Human
AAA74293	Human
AAA74294	Human
AAA74295	Human
AAA74296	Human
AAA74297	Human
AAA74298	Human
AAA74299	Human
AAA74300	Human
AAA74909	Avian
AAA74910	Avian
AAA79727	Human
AAA79774	Mink
AAA79775	Avian
AAA85781	Swine
AAA87553	Human
AAA91616	Swine
AAA92244	Avian
AAA92245	Avian
AAA92246	Avian
AAA92927	Human
AAA99877	Human
AAB02560	Equine
AAB03291	Human
AAB03292	Human
AAB09413	Human
AAB09414	Human
AAB09415	Human
AAB09416	Human
AAB09417	Human
AAB09418	Human
AAB09419	Human
AAB09420	Human
AAB09421	Human
AAB19009	Human
AAB19010	Human
AAB19011	Human
AAB19012	Human
AAB19013	Human
AAB19014	Human
AAB19015	Human
AAB19016	Human
AAB19017	Human
AAB19018	Human
AAB19019	Human
AAB19020	Human
AAB19021	Human
AAB19022	Human
AAB19023	Human
AAB19024	Human
AAB19025	Human
AAB19026	Human
AAB19027	Human
AAB19028	Human
AAB19072	Avian
AAB19073	Avian
AAB19074	Avian
AAB19075	Avian
AAB19076	Avian
AAB19077	Avian
AAB19078	Avian
AAB19079	Avian
AAB19080	Avian
AAB19081	Avian
AAB19082	Avian
AAB19083	Avian
AAB19084	Avian
AAB19085	Avian
AAB19086	Avian
AAB19087	Avian
AAB19088	Avian
AAB19089	Avian
AAB27733	Equine
AAB29091	Swine
AAB33340	Equine
AAB36976	Equine
AAB36977	Equine
AAB36978	Equine
AAB36979	Equine
AAB36980	Equine
AAB39351	Swine
AAB39352	Swine
AAB39353	Swine
AAB39639	Avian
AAB39851	Swine
AAB49654	Avian
AAB49655	Avian
AAB50963	Swine
AAB50964	Avian
AAB52904	Swine
AAB52905	Swine
AAB52906	Swine
AAB52907	Avian
AAB52908	Avian
AAB52910	Avian
AAB57740	Avian
AAB58297	Human
AAB63681	Human
AAB63683	Human
AAB63684	Human
AAB63685	Human
AAB63687	Human
AAB63689	Human
AAB63690	Human
AAB63691	Human
AAB63694	Human
AAB63697	Human
AAB63698	Human
AAB63699	Human
AAB63700	Human
AAB63702	Human
AAB63703	Human
AAB63704	Human
AAB63707	Human
AAB63708	Human
AAB63712	Human
AAB63713	Human
AAB63714	Human
AAB63715	Human
AAB63716	Human
AAB63717	Human
AAB63718	Human
AAB63719	Human
AAB63720	Human
AAB63721	Human
AAB63722	Human
AAB63723	Human
AAB63724	Human
AAB63725	Human
AAB63726	Human
AAB63728	Human
AAB63732	Human
AAB63733	Human
AAB63734	Human
AAB63735	Human
AAB63736	Human
AAB63737	Human
AAB63738	Human
AAB63739	Human
AAB63740	Human
AAB63741	Human
AAB63742	Human
AAB63743	Human
AAB63744	Human
AAB63745	Human
AAB63746	Human
AAB63749	Human
AAB63750	Human
AAB63751	Human
AAB63752	Human
AAB63753	Human
AAB63754	Human
AAB63755	Human
AAB63756	Human
AAB63757	Human
AAB63758	Human
AAB63759	Human
AAB63760	Human
AAB63762	Human
AAB63763	Human
AAB63765	Human
AAB63766	Human
AAB63767	Human
AAB66724	Human
AAB66726	Human
AAB66727	Human
AAB66729	Human
AAB66730	Human
AAB66732	Human
AAB66733	Human
AAB66734	Human
AAB66735	Human
AAB66736	Human
AAB66737	Human
AAB66741	Human
AAB66742	Human
AAB66743	Human
AAB66746	Human
AAB66748	Human
AAB66749	Human
AAB66751	Human
AAB66752	Human
AAB66753	Human
AAB66754	Human
AAB66756	Human
AAB66757	Human
AAB66758	Human
AAB66759	Human
AAB66760	Human
AAB66765	Human
AAB66768	Human
AAB66769	Human
AAB66770	Human
AAB66771	Human
AAB66772	Human
AAB66773	Human
AAB66774	Human
AAB66775	Human
AAB66776	Human
AAB66777	Human
AAB66779	Human
AAB66780	Human
AAB66785	Human
AAB66788	Human
AAB66789	Human
AAB66790	Human
AAB66791	Human
AAB66792	Human
AAB66793	Human
AAB66794	Human
AAB66795	Human
AAB66796	Human
AAB66797	Human
AAB66798	Human
AAB66799	Human
AAB66800	Human
AAB66801	Human
AAB66802	Human
AAB66804	Human
AAB66805	Human
AAB66807	Human
AAB66808	Human
AAB66809	Human
AAB66810	Human
AAB69773	Human
AAB69774	Human
AAB69775	Human
AAB69777	Human
AAB69778	Human
AAB69780	Human
AAB69781	Human
AAB69783	Human
AAB69784	Human
AAB69785	Human
AAB69786	Human
AAB69787	Human
AAB69788	Human
AAB69789	Human
AAB69790	Human
AAB69791	Human
AAB69792	Human
AAB69793	Human
AAB69794	Human
AAB69795	Human
AAB69797	Human
AAB69798	Human
AAB69799	Human
AAB69800	Human
AAB69801	Human
AAB69802	Human
AAB69803	Human
AAB69804	Human
AAB69805	Human
AAB69806	Human
AAB69807	Human
AAB69808	Human
AAB69809	Human
AAB69810	Human
AAB69811	Human
AAB69812	Human
AAB69813	Human
AAB69814	Human
AAB69815	Human
AAB69816	Human
AAB69817	Human
AAB69818	Human
AAB69819	Human
AAB69820	Human
AAB69821	Human
AAB69822	Human
AAB69823	Human
AAB69825	Human
AAB69826	Human
AAB69827	Human
AAB69828	Human
AAB69829	Human
AAB69831	Human
AAB69832	Human
AAB69833	Human
AAB69834	Human
AAB69835	Human
AAB69836	Human
AAB69840	Human
AAB69842	Human
AAB69844	Human
AAB69845	Human
AAB69846	Human
AAB69848	Human
AAB69849	Human
AAB69850	Human
AAB69851	Human
AAB81456	Human
AAB81457	Human
AAB81458	Human
AAB81459	Human
AAB81460	Human
AAB81461	Human
AAB81462	Human
AAB81463	Human
AAB82064	Avian
AAC08288	Human
AAC08289	Human
AAC08290	Human
AAC08291	Human
AAC08293	Human
AAC08294	Human
AAC08295	Human
