accessionnr	jaar
AAA43209	1933
AAA43194	1934
AAA43661	1934
AAA56803	1934
AAA58799	1934
AAA58800	1934
AAA58801	1934
AAA67183	1939
AAA43183	1956
AAA43216	1956
AAA43678	1957
AAA64366	1957
AAC54378	1961
AAC54380	1963
AAA43163	1968
AAA43247	1968
AAA43184	1969
AAA43195	1970
AAA43198	1972
AAA43174	1973
AAC78096	1973
AAA43181	1975
AAA43199	1975
AAA43107	1976
AAA43219	1976
AAB50961	1976
AAB50962	1976
AAC54381	1976
AAD13570	1977
AAA43212	1978
AAA43243	1978
AAC54379	1978
AAC54393	1978
AAA43182	1979
AAA43217	1979
AAA96134	1979
AAC54377	1979
AAD13571	1979
AAB50965	1980
AAB52909	1980
AAA16905	1982
AAA18781	1982
AAA18782	1982
AAA43211	1982
AAA62339	1982
AAA92247	1983
AAB27052	1984
AAC78093	1984
AAA43152	1985
AAA43154	1985
AAB50966	1985
AAB69837	1985
AAB69838	1985
AAB69841	1985
AAB69843	1985
AAC78092	1985
AAC78097	1985
AAA43236	1986
AAB69839	1986
AAC57166	1986
AAB69824	1987
AAB69830	1987
AAA43161	1988
AAA43238	1988
AAA62329	1988
AAA62330	1988
AAB66738	1988
AAB69847	1988
AAA43158	1989
AAB66731	1989
AAB66739	1989
AAB66740	1989
AAA16778	1990
AAA16779	1990
AAA16808	1990
AAA16809	1990
AAA16810	1990
AAA16811	1990
AAA16812	1990
AAA16813	1990
AAA16814	1990
AAA16815	1990
AAA43232	1990
AAB66725	1990
AAB66750	1990
AAA65546	1991
AAA74289	1991
AAA74290	1991
AAA74291	1991
AAA74292	1991
AAB29507	1991
AAB63747	1991
AAB66728	1991
AAB66745	1991
AAB66755	1991
AAC78091	1991
AAA62470	1992
AAB63761	1992
AAB66723	1992
AAB66747	1992
AAB66761	1992
AAB66762	1992
AAB66763	1992
AAB66764	1992
AAB66766	1992
AAB66767	1992
AAC54376	1992
AAC54382	1992
AAC57167	1992
AAC57415	1992
AAB36975	1993
AAB50957	1993
AAB50958	1993
AAB50960	1993
AAB63748	1993
AAB63764	1993
AAB66744	1993
AAB69776	1993
AAB69779	1993
AAB69782	1993
AAB69796	1993
AAC57168	1993
AAC78088	1993
AAC78090	1993
AAC78094	1993
AAC78095	1993
AAB50959	1994
AAB63709	1994
AAB63710	1994
AAB63711	1994
AAB63727	1994
AAB63729	1994
AAB63730	1994
AAB63731	1994
AAD05215	1994
AAD05216	1994
AAB63682	1995
AAB63686	1995
AAB63688	1995
AAB63692	1995
AAB63693	1995
AAB63695	1995
AAB63696	1995
AAB63701	1995
AAB63705	1995
AAD05217	1995
AAB63706	1996
AAB66778	1996
AAB66781	1996
AAB66782	1996
AAB66783	1996
AAB66784	1996
AAB66786	1996
AAB66787	1996
AAB66803	1996
AAB66806	1996
AAC40998	1996
AAC78087	1996
AAC78098	1996
AAD05218	1996
AAD05219	1996
AAC14418	1997
AAC32078	1997
AAC32088	1997
AAC32098	1997
AAC32099	1997
AAC32100	1997
AAC32101	1997
AAC32102	1997
AAC34263	1997
AAC36738	1997
AAC40508	1997
AAC78086	1997
AAD13566	1997
AAD13567	1997
AAD13568	1997
AAD13569	1997
AAA16880	1980
AAA19934	1991
AAA19935	1931
AAA43082	1983
AAA43083	1983
AAA43087	1971
AAA43088	1988
AAA43089	1968
AAA43090	1964
AAA43094	1983
AAA43096	1988
AAA43099	1972
AAA43100	1972
AAA43101	1976
AAA43102	1986
AAA43103	1987
AAA43105	1963
AAA43109	1980
AAA43110	1985
AAA43111	1971
AAA43112	1985
AAA43114	1963
AAA43117	1972
AAA43142	1991
AAA43143	1977
AAA43144	1980
AAA43145	1980
AAA43146	1982
AAA43147	1982
AAA43148	1985
AAA43149	1985
AAA43150	1934
AAA43151	1989
AAA43153	1990
AAA43155	1981
AAA43156	1985
AAA43157	1988
AAA43159	1983
AAA43160	1983
AAA43162	1986
AAA43164	1963
AAA43165	1987
AAA43166	1988
AAA43167	1991
AAA43168	1989
AAA43169	1988
AAA43170	1988
AAA43171	1954
AAA43172	1979
AAA43175	1989
AAA43176	1988
AAA43177	1968
AAA43178	1968
AAA43179	1976
AAA43180	1976
AAA43185	1957
AAA43186	1953
AAA43187	1971
AAA43188	1976
AAA43190	1990
AAA43191	1978
AAA43192	1971
AAA43196	1957
AAA43200	1972
AAA43203	1960
AAA43205	1966
AAA43206	1977
AAA43208	1966
AAA43213	1984
AAA43214	1977
AAA43215	1984
AAA43218	1977
AAA43220	1976
AAA43221	1975
AAA43222	1985
AAA43223	1980
AAA43224	1982
AAA43225	1991
AAA43226	1987
AAA43227	1987
AAA43228	1987
AAA43229	1987
AAA43230	1987
AAA43231	1988
AAA43233	1988
AAA43234	1990
AAA43235	1990
AAA43237	1934
AAA43239	1968
AAA43240	1977
AAA43248	1959
AAA43275	1986
AAA43283	1991
AAA43284	1977
AAA43345	1961
AAA43450	1991
AAA43576	1978
AAA43578	1976
AAA43658	1983
AAA43659	1984
AAA43660	1985
AAA43662	1976
AAA43680	1987
AAA62327	1989
AAA62328	1989
AAA62331	1989
AAA62332	1989
AAA62335	1989
AAA62338	1985
AAA64228	1992
AAA64229	1992
AAA64362	1957
AAA64363	1957
AAA64364	1957
AAA64365	1957
AAA65544	1991
AAA65545	1991
AAA65547	1986
AAA65548	1978
AAA65549	1987
AAA65550	1987
AAA65551	1988
AAA65552	1978
AAA65553	1982
AAA65554	1984
AAA65555	1984
AAA65556	1984
AAA65557	1984
AAA67181	1937
AAA67182	1938
AAA67338	1947
AAA72339	1992
AAA74285	1988
AAA74286	1989
AAA74287	1978
AAA74288	1991
AAA74293	1991
AAA74294	1991
AAA74295	1991
AAA74296	1991
AAA74297	1991
AAA74298	1988
AAA74299	1988
