accessionnr	aantal.aminozuren	uit	categorie	land	jaar	kenmerken
AAA43209	565	Human	H1N1	United Kingdom	1933	Influenza A virus (A/WSN/1933(H1N1))
AAA43194	338	Human	H1N1	Puerto Rico	1934	Influenza A virus (A/Puerto Rico/8/1934(H1N1))
AAA43661	179	Human	H1N1	Puerto Rico	1934	Influenza A virus (A/Puerto Rico/8/1934(H1N1))
AAA56803	563	Avian	H7N7	United Kingdom	1934	Influenza A virus (A/fowl/Weybridge(H7N7))
AAA58799	325	Human	H1N1	Puerto Rico	1934	Influenza A virus (A/Puerto Rico/8/1934(H1N1))
AAA58800	325	Human	H1N1	Puerto Rico	1934	Influenza A virus (A/Puerto Rico/8/34/PY102-V1(H1N1))
AAA58801	327	Human	H1N1	Puerto Rico	1934	Influenza A virus (A/VM113-V1(H1N1))
AAA67183	327	Swine	H1N1	United Kingdom	1939	Influenza A virus (A/swine/Cambridge/1939(H1N1))
AAA43183	83	Avian	H11N6	United Kingdom	1956	Influenza A virus (A/duck/England/1/1956(H11N6))
AAA43216	564	Avian	H4N6	Czech Republic	1956	Influenza A virus (A/duck/Czechoslovakia/1956(H4N6))
AAA43678	562	Human	H2N2	Singapore	1957	Influenza A virus (A/Singapore/1/1957(H2N2))
AAA64366	562	Human	H2N2	Singapore	1957	Influenza A virus (A/Singapore/1/1957(H2N2))
AAC54378	568	Avian	H5N3	South Africa	1961	Influenza A virus (A/tern/South Africa/1961(H5N3))
AAC54380	562	Avian	H7N3	United Kingdom	1963	Influenza A virus (A/turkey/England/1963(H7N3))
AAA43163	25	Human	H3N2	Australia	1968	Influenza A virus (A/NT/60/68/29c(H3N2))
AAA43247	562	Human	H2N2	South Korea	1968	Influenza A virus (A/Korea/426/1968(H2N2))
AAA43184	328	Human	H3N2	United Kingdom	1969	Influenza A virus (A/England/878/1969(H3N2))
AAA43195	328	Human	H3N2	Australia	1970	Influenza A virus (A/Queensland/7/70(H3N2))
AAA43198	97	Avian	H6N5	Australia	1972	Influenza A virus (A/shearwater/Australia/1/1972(H6N5))
AAA43174	570	Equine	H7N7	United Kingdom	1973	Influenza A virus (A/equine/London/1416/1973(H7N7))
AAC78096	329	Human	H3N2	New Zealand	1973	Influenza A virus (A/Port Chalmers/1/1973(H3N2))
